"고유번호","언어","상호명","주소","신주소","전화번호","웹사이트","운영시간","운영요일","휴무일","교통정보"
"27690","ko","봉산 ","122-807 서울 은평구 구산동 산 135-8 ","03424 서울 은평구 서오릉로23길 8-5 (수국사) ","02-351-6114","https://eptour.kr/v2/layout/contents_view.php?b_um=03&m_um=01&s_um=01&t_um=01","","","","6호선 구산역 3번 출구"
"27691","ko","노을공원","121-832 서울 마포구 상암동 481-6 ","03900 서울 마포구 하늘공원로 84 (상암동, 한국지역난방공사) ","02-300-5501","http://parks.seoul.go.kr/template/sub/worldcuppark.do","05:00 - 22:00 월마다 유동적 (일출시~일몰시까지)","","","6호선 월드컵경기장역 1번 출구"
"29239","ko","녹사평역 지하예술정원","140-024 서울 용산구 용산동4가 4 ","04353 서울 용산구 녹사평대로 지하 195 (용산동4가, 6호선 녹사평역) ","02-794-5579","","","","",""
"29800","ko","진관사계곡","122-200 서울 은평구 진관동 354 ","03308 서울 은평구 진관길 73 (진관동, 진관사) ","","","","","","3?6호선 연신내역 2번 출구 3호선 구파발 2번 출역"
"35621","ko","마포구 메타세쿼이아 숲길"," 서울 마포구 상암동 481-72 ","03900 서울 마포구 하늘공원로 95 (상암동, 탐방객안내소) 메타세쿼이아 숲길","","","연중무휴","","","6호선 마포구청역 8번 출구"
"38786","ko","응봉산 야경"," 서울 성동구 금호동4가 1539 ","04743 서울 성동구 독서당로 362 (응봉산팔각정 공중화장실) ","02-2286-6061","","00:00 ~ 24:00","매일","","경의중앙 응봉역 1번 출구에서 895m"
"38861","ko","월드컵공원 반려견놀이터"," 서울 마포구 상암동 1535 ","03901 서울 마포구 증산로 32 (상암동, 안내소) ","02-2124-2835","http://animal.seoul.go.kr/animalplay","","","","6호선 월드컵경기장역 1번 출구에서755m"
"42170","ko","어린이대공원 꿈마루"," 서울 광진구 능동 18 ","04991 서울 광진구 능동로 216 (능동, 어린이대공원) ","02-450-9311","www.sisul.or.kr/childrenpark","카페는 별도 확인 필요","","",""
"1789","ko","도산공원","135-896 서울 강남구 신사동 649-9 649-9","06020 서울 강남구 도산대로45길 20 (도산전시관) ","02-3423-6285","","24시간 개방  (도산 안창호 기념관 매일 10:00~ 17:00)","월~일","도산 안창호 기념관 1월 1일, 명절 연휴 휴무 ","3호선 압구정 2번, 3번 출구 도보 10분  "
"1840","ko","서울숲"," 서울시 성동구 성수동1가 685-20 ","04770 서울특별시 성동구 뚝섬로 273  (성수동1가) ","02-460-2905","https://seoulforest.or.kr/","서울숲은 24시간 운영합니다. 생태숲 : 05:30~21:30 (생태보전구역) ※2020년 1월 1일부터 사슴먹이판매 중단 곤충식물원 : 11:00~16:00 (매주 월, 화 휴관) 나비정원 : 11:00~16:00 (5~10월, 월, 화 휴관) ※ 휴관기(11월~4월) 곤충식물원 2층에서 운영 생태학습장 : 프로그램 등의 운영시 개장(비정기) 바닥분수 가동시간 : 5~9월 가동(월요일 정기점검)                               -5~6월,9월 : 1,2,3,4시, 30분씩 4회                               -7~8월 : 12,1,2,3,4시, 30분씩 5회 호수분수 가동시간 : 5~9월 토요일 2시, 5시, 30분씩 2회 ※현재 운영 중단 방문자센터 : 10:00~18:00(연중 무휴) / 동절기 10:00~17:00 (11~2월)                     휠체어 및 유모차 대여: 최대 2시간 무료대여(※ 신분증 필요) 커뮤니티센터 : 프로그램 및 전시 등의 운영시 개장(비정기)","월 - 일","연중무휴","2호선 뚝섬 8번 출구 도보 15분 분당선 서울숲 3,4번 출구 도보 5분  "
"2161","ko","여의도 공원 ","150-010 서울 영등포구 여의도동 2 ","07243 서울 영등포구 여의공원로 68 (여의도동, 여의도공원관리사무소) ","02-761-4079","http://parks.seoul.go.kr/template/sub/yeouido.do","","","","5호선 여의나루역 1번 출구 도보 5분    5호선 여의도역 3번 출구 도보 5분    "
"2429","ko","양재천&탄천","135-090 서울특별시 서초구 대치동 양재천 , 서울특별시 송파구 삼전동 탄천 ","  ","02-2155-7153","http://www.seocho.go.kr/site/seocho/04/10405011000002015070703.jsp","","","","3호선 매봉 3번, 4번 출구 도보 5분 3호선 도곡 3번, 4번 출구 도보 5분"
"2909","ko","잠원 한강공원","137-030 서울시 서초구 잠원동 121 한강공원잠원안내센터 ","06513 서울특별시 서초구 잠원로 221-124 (잠원동) 한강공원잠원안내센터 ","02-3780-0531","https://hangang.seoul.go.kr/archives/46678","","","","3호선 압구정 1번 출구 (800m)  3호선 신사 5번 출구 (1,000m)  "
"4399","ko","관악산","151-019 서울 관악구 대학동 일대","151-019 서울특별시 관악구 대학동 일대 ","02-879-6521","http://www.gwanak.go.kr/site/gwanak/05/10503020100002016051205.jsp","","","","2호선 서울대입구역 "
"5479","ko","서울대공원","427-702 경기 과천시 막계동 159-1 ","13829 경기 과천시 대공원광장로 102 (막계동, 서울대공원) ","02-500-7335","http://grandpark.seoul.go.kr","[동?식물원 테마가든] 하절기(5월~10월) 09:00~19:00  동절기(11~2월) 09:00~17:00  간절기(3~4월, 9~10월) 09:00~18:00 온실식물원 10:00~16:00(연중)","월~일","연중무휴","4호선 대공원 2번 출구  "
"11237","ko","마포대교 바람의 길 & 서울색공원 ","150-010 서울 영등포구 여의도동 8 마포대교","07337 서울 영등포구 여의동로 330 (여의도동, 한강사업본부 여의도안내센터) ","02-3780-0561 (한강사업본부)","","","","","5호선 여의도 2번출구 미니스톱 방면으로 횡단 마포대교까지 약 200m 직진→우측에 위치(바람의길)  5호선 여의도 2번출구 미니스톱 방면으로 횡단 후 다음 횡단보도까지 직진→한강시민공원 농구장 방면으로 횡단하여 색 공원까지 약 200m 이동→전방에 위치(피아노 물길은 색 공원 내 위치)"
"12993","ko","여의도 한강공원(소녀시대숲)"," 서울특별시 영등포구 여의도동 윤중로 ","07231 서울특별시 영등포구 여의도 여의서로(윤중로) ","","https://treepla.net","","","","9호선 국회의사당역 1번 출구에서 900m 이내   "
"15060","ko","한강","150-010 서울 영등포구 여의도동 2 ","07243 서울 영등포구 여의공원로 68 ","(주) 02-120 (야) 3780-0777","http://hangang.seoul.go.kr/","","","","5호선 여의나루역 1번 출구 도보 5분  5호선 여의도역 3번 출구 도보 5분"
"27397","ko","서울식물원"," 서울 강서구 마곡동 812 ","07789 서울 강서구 마곡동로 161 (마곡동, 서울식물원) ","02-2104-9716","botanicpark.seoul.go.kr","3~10월 09:30~18:00(17:00 입장 마감)   11~2월 09:30~17:00(16:00 입장 마감)","화~일 공원(열린숲, 호수원, 습지원) 연중무휴","월요일","9호선?공항철도 마곡나루역 3번 출구 "
"29459","ko","배봉산근린공원"," 서울 동대문구 전농동 산32-20 ","02509 서울 동대문구 한천로43길 22 (전농동) ","02-2127-4398","","","","",""
"29802","ko","삼천사계곡","122-200 서울 은평구 진관동 산 25-2 ","03308 서울 은평구 연서로54길 127 (진관동, 삼천사) 인근","","","","","","3?6호선 연신내역 2번 출구 3호선 구파발 2번 출역"
"36947","ko","가을단풍길 - 남산남측순환로"," 서울 용산구 용산동2가 산 1-3 ","04340 서울 용산구 남산공원길 126 (용산동2가) ","02-2199-7623(용산구청 공원녹지과)","https://www.seoul.go.kr/storyw/autumn/list.do","","","",""
"37532","ko","지양산"," 서울 양천구 신월동  ","08037 서울 양천구 신월동  산 158-1","","","","","",""
"38785","ko","응봉산 팔각정 "," 서울 성동구 금호동4가 1539 ","04743 서울 성동구 독서당로 362 (응봉산팔각정 공중화장실) ","02-2286-6061","","00:00 ~ 24:00","매일","","경의중앙 응봉역 1번 출구에서 895m"
